2020-11-18 08:27:28 status not-installed libsasl2-modules-db:amd64 <none>
2020-11-18 08:27:28 status installed libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 remove libsqlite3-0:amd64 3.27.2-3 <none>
2020-11-18 08:27:28 status half-configured libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 status half-installed libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 status config-files libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 status not-installed libsqlite3-0:amd64 <none>
2020-11-18 08:27:28 status installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:28 remove openssl:amd64 1.1.1d-0+deb10u3 <none>
2020-11-18 08:27:28 status half-configured openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:28 status half-installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:28 status config-files openssl:amd64 1.1.1d-0+deb10u3
